country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
PLW,Palau,2005,19781.0,-0.43,,,191,0.2,4.2,7.6,9.0,72.1,66.3,,,58.0,,,,,
PRY,Paraguay,2005,5824096.0,1.62,35.5,4.74,8735,2.1,4.8,3.4,5.0,73.73,69.72,,,43.0,0.6,27.1,11.9,1.2,1.2
PRY,Paraguay,2010,6248020.0,1.35,32.94,5.22,20048,13.1,4.6,3.8,6.2,74.69,70.74,71.8,15.6,42.0,0.5,24.1,12.2,1.3,
PRY,Paraguay,2019,6956071.0,1.29,29.44,6.43,29435,4.3,4.6,4.5,8.0,76.25,72.16,,,43.0,0.5,20.8,,,1.4
QAT,Qatar,2005,865416.0,13.87,21.7,1.3,44530,7.5,1.2,4.0,2.6,79.83,77.22,,,43.0,,9.8,,2.4,2.5
QAT,Qatar,2010,1856327.0,11.48,12.89,0.71,125122,16.7,0.4,4.5,1.8,80.73,77.93,65.3,5.5,36.0,,8.3,,1.2,3.9
QAT,Qatar,2019,2781677.0,2.07,13.54,1.37,167605,1.6,0.1,2.9,3.1,81.88,78.98,,,31.0,,7.3,,,0.0
ROU,Romania,2005,21319685.0,-0.62,15.74,15.23,99699,4.2,7.2,3.5,5.5,75.57,68.37,,,140.0,0.1,16.9,2.5,6.8,2.0
ROU,Romania,2010,20246871.0,-0.59,15.78,15.67,166658,-2.8,7.0,3.5,5.8,77.3,69.8,92.2,3.5,104.0,0.1,12.0,2.5,6.3,2.5
ROU,Romania,2019,19466145.0,-0.62,15.53,18.34,211804,6.9,5.0,3.1,5.0,79.2,71.8,,,68.0,0.1,8.4,,,2.3
SRB,Serbia,2005,7440769.0,-0.3,18.71,14.4,26252,5.5,20.8,,8.7,75.6,70.2,,,40.0,0.1,9.5,,5.9,
SRB,Serbia,2010,7291436.0,-0.4,17.34,14.74,39460,0.6,19.2,4.6,10.1,77.0,71.8,95.0,1.7,30.0,0.1,7.1,5.9,5.6,2.5
SRB,Serbia,2019,6982604.0,-0.55,15.69,18.35,41590,2.0,12.2,3.9,9.1,78.1,73.1,,,17.0,0.1,6.1,,,3.1
RUS,Russian Federation (the),2005,143518523.0,-0.38,15.17,13.82,771495,6.4,7.2,3.8,4.8,72.47,58.92,,,87.0,,16.2,2.5,9.7,
RUS,Russian Federation (the),2010,142849449.0,0.04,14.93,13.11,1539845,4.5,7.4,4.1,5.0,74.88,63.09,86.3,4.6,85.0,,10.7,2.5,8.8,2.4
RUS,Russian Federation (the),2019,144478050.0,-0.01,17.91,14.67,1577524,1.5,4.9,3.8,5.3,77.81,67.75,,,54.0,,8.3,,,4
RWA,Rwanda,2005,8840215.0,1.82,42.36,2.78,2581,9.4,1.7,5.7,8.8,56.44,54.01,,,102.0,3.8,94.3,44.5,,
RWA,Rwanda,2010,10039338.0,2.59,41.54,2.57,5772,7.3,3.0,4.9,8.6,65.11,61.67,35.2,52.5,83.0,3.3,62.7,34.0,,
RWA,Rwanda,2019,12301939.0,2.64,39.98,2.94,9136,6.1,1.4,3.2,6.8,70.78,66.52,,,59.0,2.5,39.4,,,0.1
SAU,Saudi Arabia,2005,23816183.0,2.91,33.87,2.96,328461,5.6,6.0,5.4,3.4,74.88,71.88,,,17.0,,16.3,7.9,2.3,0.7
SAU,Saudi Arabia,2010,27421461.0,2.93,29.7,2.97,528207,5.0,5.6,5.1,3.7,75.53,72.62,71.6,12.6,19.0,,12.2,7.0,2.2,2.4
SAU,Saudi Arabia,2019,33699947.0,1.8,25.04,3.31,683827,-0.7,5.3,,5.7,76.61,73.8,,,10.0,,8.7,,,2.4
SLB,Solomon Islands,2005,469918.0,2.45,41.31,3.02,429,12.8,2.2,,10.1,70.83,67.69,,,106.0,,24.6,11.9,1.4,0.2
SLB,Solomon Islands,2010,527861.0,2.43,40.75,3.34,720,10.6,2.1,9.9,7.3,72.55,69.07,64.9,25.7,80.0,,23.0,10.6,,0.2
SLB,Solomon Islands,2019,652858.0,2.61,40.24,3.6,1212,3.5,2.1,,5.2,74.7,71.16,,,74.0,,20.2,,,0.2
SYC,Seychelles,2005,82858.0,0.46,24.97,6.98,919,9.0,5.5,5.4,3.9,77.1,67.4,,,18.0,,11.9,,,1.2
SYC,Seychelles,2010,89770.0,2.79,22.81,7.57,970,5.9,,4.8,3.6,77.5,69.1,79.1,12.3,21.0,,12.2,,,1.1
SYC,Seychelles,2019,96762.0,0.95,23.64,7.59,1487,6.3,4.1,4.4,3.9,77.4,68.5,,,18.0,,12.4,,,0.9
SDN,Sudan (the),2005,30949516.0,2.4,43.47,3.12,,,13.1,1.6,4.1,62.49,58.64,,,,0.2,61.8,,0.7,0.3
SDN,Sudan (the),2010,34545013.0,2.23,42.99,3.27,54459,8.8,12.8,2.2,5.0,64.54,61.03,46.4,41.9,,0.2,53.2,,0.7,0.3
SDN,Sudan (the),2019,41801533.0,2.39,40.51,3.58,120266,3.2,12.7,,5.7,66.95,63.28,,,71.0,0.2,47.8,,,0.4
SWE,Sweden,2005,9029572.0,0.4,17.4,17.31,389489,2.8,7.7,6.6,8.3,82.8,78.4,,,6.9,,3.2,2.5,2.9,
SWE,Sweden,2010,9378126.0,0.85,16.51,18.22,488909,6.0,8.6,6.6,8.5,83.5,79.5,90.7,4.5,7.5,,2.6,2.5,2.7,3.9
SWE,Sweden,2019,10175214.0,1.16,17.58,20.1,535607,2.1,6.3,7.6,10.9,84.1,81.0,,,5.5,,2.4,,,5.4
SGP,Singapore,2005,4265762.0,2.35,17.23,7.17,127418,7.5,5.6,3.2,3.0,82.5,77.6,,,37.0,0.2,2.5,,3.2,1.5
SGP,Singapore,2010,5076732.0,1.77,13.99,7.26,236420,15.2,3.2,3.1,3.2,84.0,79.2,77.1,18.3,35.0,0.3,2.2,,,1.7
SGP,Singapore,2019,5638676.0,0.47,12.28,11.46,323901,3.6,1.7,2.9,4.5,85.4,81.0,,,47.0,0.2,2.1,,,2.3
SVN,Slovenia,2005,2000474.0,0.17,13.97,15.5,36345,4.0,6.5,5.6,8.0,81.3,74.1,,,16.0,0.1,4.0,2.5,4.8,
SVN,Slovenia,2010,2048583.0,0.44,13.99,16.69,48014,1.2,7.2,5.6,8.6,82.7,76.3,88.3,3.8,9.5,0.1,3.2,2.5,4.6,2.4
SVN,Slovenia,2019,2073894.0,0.36,15.02,19.61,48456,4.9,6.0,4.9,8.5,84.0,78.2,,,5.3,0.1,2.2,,,3
SVK,Slovakia,2005,5372807.0,0.01,16.82,11.64,48965,6.8,16.3,3.8,6.6,77.9,70.1,,,15.0,0.1,7.3,6.2,6.8,
SVK,Slovakia,2010,5391428.0,0.09,15.34,12.45,89501,5.0,14.4,4.1,7.8,78.8,71.6,89.7,5.0,8.7,0.1,6.2,4.3,6.4,3.3
SVK,Slovakia,2019,5446771.0,0.14,15.45,15.63,95618,3.2,7.0,4.6,7.1,80.7,73.8,,,5.8,0.1,5.4,,,2.5
SLE,Sierra Leone,2005,5645624.0,3.82,43.74,3.15,1650,4.5,3.6,2.8,11.0,45.25,43.73,,,316.0,1.5,141.9,37.0,,0.0
SLE,Sierra Leone,2010,6415634.0,2.25,43.04,3.06,2578,5.3,4.3,2.6,10.9,50.23,48.5,27.5,65.0,317.0,1.5,122.1,27.0,,0.0
SLE,Sierra Leone,2019,7650154.0,2.14,41.06,2.97,3740,3.8,4.2,4.6,16.5,55.11,53.47,,,298.0,1.5,97.1,,,0.0
SEN,Senegal,2005,11090116.0,2.56,43.74,3.22,11267,5.6,9.0,5.1,4.6,62.09,59.08,,,141.0,0.7,61.1,21.6,,0.1
SEN,Senegal,2010,12678148.0,2.74,43.51,3.16,16725,4.2,10.2,6.5,4.9,65.83,62.62,38.5,50.4,132.0,0.6,47.5,13.1,,0.1
SEN,Senegal,2019,15854360.0,2.78,43.06,3.09,21126,6.7,4.8,6.2,5.6,69.63,65.5,,,118.0,0.4,38.3,,,0.1
SOM,Somalia,2005,10446863.0,3.08,47.89,2.64,2316,3.0,5.9,,,53.96,50.83,,,285.0,0.4,97.0,,,
SOM,Somalia,2010,12043883.0,2.75,48.17,2.69,1093,2.6,6.0,,,55.62,52.44,20.9,68.8,286.0,0.3,89.8,,,0.0
SOM,Somalia,2019,15008154.0,2.83,46.58,2.87,1535,1.8,5.9,,,58.79,55.41,,,262.0,0.1,79.4,,,0.0
SUR,Suriname,2005,499464.0,1.17,31.32,5.91,2193,3.9,9.8,,6.5,72.36,65.7,,,29.0,1.3,28.0,10.9,,0.8
SUR,Suriname,2010,529131.0,1.14,29.4,6.17,4368,5.2,7.6,,5.5,73.81,67.34,72.5,15.1,46.0,1.4,23.7,8.0,3.1,0.7
SUR,Suriname,2019,575991.0,0.96,27.17,6.91,3807,-0.7,8.0,,6.1,74.94,68.37,,,38.0,1.4,20.3,,,1.2
SSD,South Sudan,2010,9508364.0,3.93,43.52,3.33,15206,-1.8,12.1,,,56.05,53.58,24.0,68.8,,2.4,78.6,,,
SSD,South Sudan,2019,10975920.0,0.6,41.82,3.4,5694,1.3,11.5,1,,59.14,56.12,,,146.0,2.5,65.8,,,
STP,Sao Tome and Principe,2005,157472.0,2.4,44.0,3.33,126,7.1,16.5,5.3,11.2,66.76,62.52,,,151.0,,56.1,9.4,,0.5
STP,Sao Tome and Principe,2010,180371.0,2.52,43.41,3.0,197,6.7,14.6,9.7,6.8,69.67,65.17,48.8,41.7,117.0,,42.1,14.6,,
STP,Sao Tome and Principe,2019,211028.0,1.88,42.52,2.93,393,3.9,13.5,4.9,6.0,72.58,67.78,,,124.0,,32.1,,,0.3
SLV,El Salvador,2005,6052123.0,0.47,34.77,6.32,14698,3.6,7.2,3.2,7.2,74.63,65.49,,,37.0,0.7,23.6,10.5,0.9,1.7
SLV,El Salvador,2010,6183875.0,0.42,31.64,7.07,18448,1.4,4.9,4.0,6.9,75.71,66.48,69.2,11.8,34.0,0.7,21.6,12.4,1.0,1.9
SLV,El Salvador,2019,6420744.0,0.51,27.13,8.29,24805,2.3,4.6,3.8,7.0,77.64,68.23,,,70.0,0.6,17.7,,,1.6
SYR,Syrian Arab Republic,2005,18361176.0,2.95,39.33,3.35,28397,6.2,9.2,5.4,4.1,76.77,72.3,,,29.0,0.1,17.7,,1.3,1.5
SYR,Syrian Arab Republic,2010,21362529.0,0.74,37.39,3.41,60465,3.4,8.6,5.1,3.3,76.78,68.11,81.4,10.1,21.0,0.1,15.0,,1.5,1.5
SYR,Syrian Arab Republic,2019,16906283.0,-0.95,31.42,4.5,15183,1.9,14.9,,3.6,77.76,66.58,,,19.0,0.1,17.9,,,1.2
SWZ,Eswatini,2005,1030579.0,0.42,41.33,3.29,3178,6.0,22.1,6.5,5.6,44.6,40.66,,,1060.0,26.3,86.3,17.0,,0.2
SWZ,Eswatini,2010,1064837.0,0.69,40.19,3.67,4439,3.8,27.8,6.1,8.4,49.19,44.37,27.0,65.8,1190.0,27.4,74.2,23.2,,0.1
SWZ,Eswatini,2019,1136191.0,1.01,38.11,4.01,4409,2.0,26.5,7.1,7.7,63.97,55.28,,,329.0,27.3,51.6,,,0.1
TCD,Chad,2005,10096633.0,3.65,49.15,2.7,6681,7.9,5.7,1.7,4.8,49.73,47.38,,,151.0,1.5,108.3,39.2,0.4,0.0
TCD,Chad,2010,11952136.0,3.33,48.77,2.55,10970,15.0,5.8,2.0,4.1,52.19,49.6,24.3,67.1,147.0,1.5,97.5,40.0,,0.0
TCD,Chad,2019,15477751.0,3.02,47.13,2.48,10717,-3.1,5.9,2.9,4.5,55.4,52.58,,,142.0,1.3,84.1,,,0.0
TGO,Togo,2005,5611640.0,2.6,42.78,2.77,2281,-4.7,1.9,3.4,3.9,55.33,53.85,,,71.0,3.3,77.3,26.0,0.9,0.0
TGO,Togo,2010,6421679.0,2.7,42.79,2.73,3426,6.1,1.9,4.4,5.9,58.13,56.78,32.2,58.4,76.0,2.9,63.2,21.0,,0.2
TGO,Togo,2019,7889094.0,2.45,41.33,2.87,4786,4.4,1.8,5.1,6.6,61.61,59.89,,,36.0,2.3,55.7,,,0.0
THA,Thailand,2005,65416189.0,0.65,21.29,7.75,189318,4.2,1.4,3.9,3.2,75.62,68.71,,,224.0,1.6,16.7,12.5,2.1,0.3
THA,Thailand,2010,67195028.0,0.49,19.18,8.9,341105,7.5,0.6,3.5,3.4,77.72,70.75,71.4,17.4,181.0,1.5,13.4,9.2,2.1,0.4
THA,Thailand,2019,69428524.0,0.32,17.09,11.9,455303,3.9,1.4,4.1,3.7,80.7,73.23,,,153.0,1.1,10.1,,,0.8
TJK,Tajikistan,2005,6789321.0,1.89,38.03,3.8,2312,6.7,11.2,3.5,5.2,68.32,64.04,,,196.0,0.1,57.2,,5.9,1.9
TJK,Tajikistan,2010,7527394.0,2.18,35.68,3.3,5642,6.5,11.7,4.0,5.7,71.15,66.55,64.0,27.3,128.0,0.2,39.0,,5.0,1.7
TJK,Tajikistan,2019,9100837.0,2.45,36.78,3.02,7146,7.1,10.3,5.2,7.0,73.18,68.73,,,84.0,0.2,34.1,,,1.7
TLS,Timor-Leste,2005,995135.0,2.36,44.66,3.71,1814,35.9,7.2,,1.3,65.56,62.26,,,498.0,,69.0,31.3,,
TLS,Timor-Leste,2010,1093523.0,1.78,42.53,4.04,3999,-1.2,3.3,2.4,1.4,68.79,65.63,44.1,47.1,498.0,,53.3,29.2,5.9,
TLS,Timor-Leste,2019,1267972.0,1.97,37.78,4.32,2955,-8.0,3.5,2.7,4.0,71.38,67.28,,,498.0,,44.9,,,0.7
TKM,Turkmenistan,2005,4754646.0,1.08,32.61,4.59,14176,13.0,3.8,,9.6,68.89,61.26,,,84.0,,62.0,4.8,8.4,4.3
TKM,Turkmenistan,2010,5087213.0,1.57,29.52,4.14,22583,9.2,4.0,,5.0,70.22,63.16,72.1,20.5,79.0,,54.1,4.8,7.6,2.3
TKM,Turkmenistan,2019,5850908.0,1.61,30.82,4.43,37915,6.5,3.3,3,6.6,71.58,64.6,,,46.0,,46.9,,,2.2
TUN,Tunisia,2005,10106771.0,0.84,25.49,7.39,32272,4.0,12.9,6.5,5.4,76.81,71.89,,,26.0,0.1,23.0,5.6,1.8,0.9
TUN,Tunisia,2010,10635244.0,1.04,23.33,7.49,44051,3.0,13.0,6.3,5.9,77.39,72.84,84.4,8.7,28.0,0.1,18.0,4.8,2.1,1.2
TUN,Tunisia,2019,11565204.0,1.15,24.17,8.32,40069,2.0,15.1,6.6,7.0,78.54,74.49,,,35.0,0.1,14.6,,,1.3
TON,Tonga,2005,100905.0,0.68,38.21,5.9,262,1.6,3.1,3.9,4.2,71.41,68.23,,,21.0,,14.4,,,0.3
TON,Tonga,2010,103986.0,0.09,37.41,5.72,374,3.6,1.1,,4.7,72.03,68.08,81.7,12.5,12.0,,14.4,,2.6,0.6
TON,Tonga,2019,103197.0,1.17,35.42,5.95,427,2.7,1.2,,5.3,72.76,68.88,,,10.0,,14.7,,,0.5
TUR,Turkey,2005,67903469.0,1.32,28.6,6.68,501423,9.0,10.6,3.0,4.9,75.95,69.0,,,33.0,,24.7,2.5,2.3,1.5
TUR,Turkey,2010,72326988.0,1.4,26.9,7.21,771877,8.5,10.7,2.8,5.1,77.84,71.2,87.6,5.7,25.0,,16.4,2.5,2.5,1.7
TUR,Turkey,2019,82319724.0,1.49,24.65,8.48,851542,7.4,11.2,4.3,4.3,80.34,74.45,,,16.0,,11.8,,,1.8
TTO,Trinidad and Tobago,2005,1296502.0,0.49,21.85,7.21,15938,6.2,8.0,3.1,4.5,73.39,68.1,,,15.0,,28.8,11.8,2.6,0.8
TTO,Trinidad and Tobago,2010,1328147.0,0.54,20.72,8.3,22062,3.3,5.9,,5.2,74.77,69.22,80.0,9.1,19.0,,28.5,9.6,2.1,1.8
TTO,Trinidad and Tobago,2019,1389858.0,0.42,20.42,10.73,22105,-2.3,5.1,,6.5,76.09,70.75,,,21.0,,26.1,,,2.7
TZA,"Tanzania, United Republic of",2005,38450320.0,2.82,44.76,2.54,18072,7.4,4.4,4.6,6.4,55.87,52.8,,,510.0,5.4,71.0,34.4,,0.0
TZA,"Tanzania, United Republic of",2010,44346525.0,2.91,44.88,2.48,31105,6.4,3.0,4.6,5.3,60.37,56.78,25.8,65.4,426.0,5.0,55.5,34.6,0.7,
TZA,"Tanzania, United Republic of",2019,56318348.0,2.98,44.1,2.6,52090,7.0,2.3,3.5,4.1,66.82,63.17,,,253.0,4.6,46.9,,,0.0
UKR,Ukraine,2005,47105150.0,-0.73,14.62,15.89,89239,3.1,7.2,6.1,6.1,73.97,62.23,,,127.0,0.9,14.8,2.5,8.7,
UKR,Ukraine,2010,45870700.0,-0.4,14.13,15.71,136012,0.3,8.1,7.3,7.0,75.5,65.28,89.5,4.9,110.0,0.9,12.6,2.5,9.4,3.5
UKR,Ukraine,2019,44622516.0,-0.47,15.81,16.43,112154,2.5,8.6,5.0,6.7,76.72,66.69,,,80.0,1.0,8.8,,,3
UGA,Uganda,2005,27684585.0,3.17,49.67,1.97,11158,10.0,1.9,5.0,11.4,53.88,49.45,,,233.0,7.3,79.5,24.1,1.0,0.1
UGA,Uganda,2010,32428167.0,3.19,49.09,1.87,19683,8.2,4.0,2.4,10.5,58.72,55.35,25.3,64.5,210.0,6.8,70.7,30.9,0.5,
UGA,Uganda,2019,42723139.0,3.72,46.93,1.94,27699,5.0,2.3,2.6,6.2,65.17,60.66,,,200.0,5.7,59.0,,,0.1
USA,United States of America (the),2005,295516599.0,0.92,20.88,12.31,13036637,3.5,5.1,,14.5,80.1,75.0,,,5.5,,7.0,2.5,3.2,2.9
USA,United States of America (the),2010,309321666.0,0.83,20.2,12.98,14992052,2.6,9.6,5.4,16.4,81.0,76.2,88.4,5.4,4.2,0.4,6.8,2.5,3.0,2.4
USA,United States of America (the),2019,326687501.0,0.52,18.71,15.81,19485394,2.2,4.1,5,17.1,81.1,76.1,,,3.0,,6.0,,,2.6
URY,Uruguay,2005,3321803.0,0.01,23.69,13.58,17363,7.5,12.2,2.7,8.4,79.48,72.05,,,22.0,0.4,14.5,4.3,2.4,3.7
URY,Uruguay,2010,3359275.0,0.29,22.2,14.0,40285,7.8,7.2,2.9,8.6,80.38,72.93,85.3,8.1,24.0,0.5,11.3,2.5,1.2,3.9
URY,Uruguay,2019,3449299.0,0.37,20.61,14.81,59180,2.7,8.2,4.4,9.1,81.36,73.96,,,33.0,0.6,10.0,,,5.0
UZB,Uzbekistan,2005,26167000.0,1.16,32.6,4.84,14396,7.0,8.3,,5.0,71.66,65.25,,,120.0,0.1,49.4,14.5,5.2,
UZB,Uzbekistan,2010,28562400.0,2.82,29.14,4.51,39526,8.5,8.2,,5.4,72.46,66.94,79.1,14.6,97.0,0.1,40.7,9.0,4.4,2.5
UZB,Uzbekistan,2019,32955400.0,1.73,28.69,4.42,49677,5.2,6.7,6.4,6.3,73.68,69.44,,,70.0,0.2,27.7,,,2.4
VCT,Saint Vincent and the Grenadines,2005,108614.0,0.09,28.55,7.07,551,2.5,18.9,6.4,3.3,73.78,69.04,,,7.4,,19.6,9.1,4.5,0.9
VCT,Saint Vincent and the Grenadines,2010,108255.0,-0.03,25.83,8.23,681,-3.3,18.8,5.1,3.7,74.33,69.49,76.6,16.5,16.0,,19.5,6.7,2.6,0.7
VCT,Saint Vincent and the Grenadines,2019,110210.0,0.35,22.54,9.59,780,0.7,18.2,5.8,3.6,75.01,70.18,,,6.3,,17.4,,,
VEN,Venezuela (Bolivarian Republic of),2005,26432447.0,1.66,31.69,4.97,145514,10.3,11.5,,4.8,76.86,69.1,,,32.0,,17.2,10.5,,1.9
VEN,Venezuela (Bolivarian Republic of),2010,28439940.0,1.45,29.91,5.57,393806,-1.5,8.4,6.9,6.1,77.1,69.4,67.9,11.8,28.0,,14.8,3.1,,
VEN,Venezuela (Bolivarian Republic of),2019,28870195.0,-1.79,27.67,7.27,255093,-14.0,7.7,,3.2,76.07,68.4,,,48.0,,15.0,,,
VNM,Viet Nam,2005,83832661.0,0.92,27.1,6.54,57633,7.5,2.3,,5.1,78.42,69.72,,,266.0,0.3,23.6,18.2,2.6,0.6
VNM,Viet Nam,2010,87967651.0,1.0,23.63,6.49,115932,6.4,2.6,5.1,6.0,78.88,70.72,74.4,14.2,231.0,0.4,19.0,13.6,2.0,0.7
VNM,Viet Nam,2019,95540395.0,0.99,23.17,7.27,223780,6.8,2.1,5.7,5.7,79.44,71.21,,,182.0,0.3,17.9,,,0.8
VUT,Vanuatu,2005,209282.0,2.49,39.68,3.27,395,5.3,5.6,8.4,3.3,69.88,67.02,,,83.0,,23.7,7.0,4.1,0.1
VUT,Vanuatu,2010,236211.0,2.56,38.22,3.9,701,1.6,5.4,5.0,3.4,70.77,67.63,70.8,21.8,69.0,,24.0,5.9,,0.1
VUT,Vanuatu,2019,292680.0,2.48,38.85,3.64,864,3.5,5.2,4.7,3.7,71.99,68.85,,,46.0,,24.3,,,0.2
WSM,Samoa,2005,179727.0,0.63,39.61,4.75,434,5.1,2.1,3.8,4.8,72.94,68.09,,,15.0,,17.0,3.5,1.0,0.3
WSM,Samoa,2010,185949.0,0.75,38.31,4.97,679,4.3,4.8,5.1,5.5,74.03,69.51,77.5,13.4,8.7,,16.6,3.4,,0.3
WSM,Samoa,2019,196130.0,0.4,38.32,4.8,856,-0.4,8.0,4.1,5.5,75.32,71.2,,,6.4,,15.1,,,0.3
YEM,Yemen,2005,20107409.0,2.86,46.06,2.67,19041,5.1,16.0,9.2,5.2,65.09,61.95,,,80.0,0.1,61.6,30.1,0.6,0.3
YEM,Yemen,2010,23154855.0,2.8,42.67,2.66,30907,3.3,17.8,5.2,5.2,67.23,63.93,55.2,32.4,52.0,0.1,48.6,25.7,0.7,0.3
YEM,Yemen,2019,28498687.0,2.36,39.61,2.88,27957,-5.9,14.0,,5.6,67.8,64.42,,,48.0,0.1,43.3,,,0.3
ZAF,South Africa,2005,47880601.0,1.24,30.88,4.61,257772,5.3,23.8,5.1,6.7,55.93,51.1,,,932.0,16.8,53.9,4.4,2.8,0.7
ZAF,South Africa,2010,51216964.0,1.46,29.67,4.75,375348,3.0,24.7,5.7,7.4,60.56,54.91,39.8,52.2,948.0,18.9,48.1,4.4,,0.7
ZAF,South Africa,2019,57779622.0,1.36,29.08,5.32,348872,1.3,27.6,6.1,8.1,67.4,60.46,,,520.0,20.4,32.9,,,0.9
ZMB,Zambia,2005,11856247.0,2.61,47.01,2.24,8332,7.2,10.4,1.7,6.9,50.66,46.4,,,602.0,14.1,88.4,51.1,,0.1
ZMB,Zambia,2010,13605984.0,2.91,47.29,2.08,20265,10.3,13.2,1.1,3.7,57.79,53.48,24.1,67.2,495.0,13.0,64.7,50.0,2.0,0.1
ZMB,Zambia,2019,17351822.0,2.91,44.94,2.1,25868,3.5,7.8,,4.5,66.45,60.53,,,346.0,11.3,53.3,,,0.1
ZWE,Zimbabwe,2005,12076699.0,0.47,41.35,3.11,6223,-4.1,4.5,,,44.96,41.57,,,588.0,19.0,65.0,42.2,,0.2
ZWE,Zimbabwe,2010,12697723.0,1.35,41.61,3.07,10142,12.6,5.3,1.8,11.8,52.24,48.88,24.2,67.2,416.0,15.4,62.7,41.9,,0.1
ZWE,Zimbabwe,2019,14439018.0,1.41,42.4,2.94,18037,3.0,5.0,7.5,9.4,62.6,59.5,,,210.0,12.7,51.2,,,0.1
